latitude,longitude,depth,d13C,Core,d18O
31.620,129.350,700.000,0.930,CH84_27,1.3600
32.870,-119.970,1194.000,-0.040,EW9504_09,2.3000
33.190,-9.830,3816.000,0.950,GIK15651_4,2.6000
33.470,-12.760,4305.000,0.850,GIK15678_1,2.5700
34.100,-10.830,4410.000,0.880,GIK15677_1,2.6300
34.760,-8.850,3515.000,1.100,GIK15676_2,2.5600
34.890,-7.820,2001.000,1.040,GIK15669_2,2.0800
34.960,-7.120,803.000,1.490,GIK15666_6,2.5400
35.290,-6.830,684.000,-0.080,MD04_2806,1.1450
35.730,13.180,1486.000,1.570,CS70_5,3.1500
37.110,-32.290,2655.000,1.080,KF09,2.1900
37.580,-31.840,2690.000,1.170,KF13,2.3400
38.000,-31.130,3050.000,1.130,KF16,2.1600
38.080,-30.600,2184.000,1.070,KS04,2.0600
40.530,-10.430,3780.000,0.820,NO82_13,1.8550
41.490,-9.720,2160.000,1.100,PO200_10_28_1,2.5000
42.430,3.700,791.000,0.450,BBLL3_MC2,1.2000
42.460,3.500,919.000,0.850,BBLL2_MC1,1.7850
42.460,3.500,922.000,0.540,BBLL3_MC1,1.4200
45.380,-4.650,4320.000,0.600,SU81_50,2.0200
45.630,-22.750,3625.000,0.820,NO79_28,2.2450
45.630,-22.750,3625.000,0.815,NO79_28,2.2450
50.420,167.730,3300.000,0.320,Vi_37GC,3.0000
50.670,-19.430,3850.000,0.725,GIK23417_1,2.4400
50.940,168.110,3670.000,0.320,Vi_35GC,3.0000
51.050,168.100,3700.000,0.340,6_TOW_015GGC,2.7900
51.060,168.040,3416.000,0.020,6_TOW_012GGC,2.9100
51.060,168.070,3516.000,0.330,6_TOW_013GGC,2.9200
51.060,168.070,3631.000,0.220,6_TOW_014GGC,2.9700
51.060,168.140,3816.000,0.220,6_TOW_016GGC,2.7400
51.070,167.980,3225.000,0.110,6_TOW_011PC,3.0200
51.070,168.010,3296.000,0.430,6_TOW_011GGC,3.2350
51.080,167.950,3041.000,-0.075,6_TOW_007GGC,3.0650
51.080,167.980,3160.000,0.210,6_TOW_008GGC,3.0500
51.090,167.910,2920.000,0.290,6_TOW_006GGC,2.7800
51.110,167.830,2610.000,0.050,6_TOW_003GGC,2.8300
51.110,167.900,2804.000,0.240,6_TOW_005GGC,3.0700
51.120,167.790,2507.000,-0.140,6_TOW_002GGC,3.1000
51.570,-20.000,3616.000,0.780,GIK23416_4,2.6400
52.150,-12.770,704.000,1.160,GeoB6730_1,1.4550
52.150,-12.770,711.000,1.600,GeoB6729_1,2.9467
52.150,-12.770,711.000,1.597,GeoB6729_1,2.9467
52.150,-12.770,749.000,1.160,GeoB6728_1,3.1850
52.150,-12.770,758.000,1.330,GeoB6719_1,3.3550
52.150,-12.770,794.000,1.480,GeoB6727_2,3.3700
52.160,-12.770,820.000,1.410,GeoB6725_1,3.5850
52.160,-12.750,900.000,1.280,GeoB6718_2,2.6000
52.533,-21.970,3955.000,0.775,SU90_39,2.5250
52.550,-20.330,2841.000,1.138,GIK23418_8,2.7725
52.990,164.640,2970.000,0.260,Vi_26BC,2.9300
53.010,164.650,2980.000,0.170,RAMA_44P,2.5300
53.180,-19.150,2472.000,1.060,GIK23415_9,2.5550
53.540,-20.290,2196.000,1.113,GIK23414_9,2.6822
54.420,-149.430,3480.000,-0.010,PAR87A_01,2.6300
57.500,-15.870,1145.000,0.900,ODP982,2.2550
58.000,-16.500,1150.000,1.146,BOFS17K,2.4320
60.690,-20.990,2658.000,0.810,V29_202,2.7600
61.530,-38.120,2567.000,1.420,PS62_004_3,3.2500
61.700,-39.070,2192.000,1.220,PS62_003_2,3.6800
66.583,1.117,2900.000,1.375,V27_86,3.3700
66.680,4.570,1226.000,1.083,MD95_2010,3.2400
67.870,-21.770,777.000,1.380,PS2644_5,3.5300
67.870,-21.760,778.000,1.260,PS2644_2,3.6450
68.500,0.820,2802.000,1.340,GIK23065_3,3.8280
68.560,-21.450,1115.000,1.109,PS2646_2,3.7544
68.560,-21.450,1115.000,1.110,PS2646_2,3.7544
70.120,-17.690,1622.000,1.061,PS1730_2,3.3960
85.520,156.480,2388.000,1.160,OD96_30_3_1,4.7030
-56.680,160.240,3912.000,0.160,SO136-111,3.5900
-53.630,169.870,799.000,1.280,B32,2.6400
-53.330,169.240,602.000,1.880,SO136-61,2.4800
-51.720,167.830,629.000,1.750,D178,2.4400
-51.700,171.520,519.000,1.570,F137,2.3900
-50.630,169.380,585.000,1.720,MD97-2109,2.5600
-50.600,171.390,529.000,1.230,D206,2.2400
-50.520,174.320,1026.000,1.050,F149,2.2700
-49.780,168.930,649.000,1.820,D84,2.7700
-48.950,174.980,704.000,1.380,F111,2.2200
-48.670,170.810,801.000,1.350,F104,2.2400
-48.500,149.520,2155.000,0.740,MD97-2108,3.2300
-47.840,146.550,2260.000,0.520,MD88-779,3.3100
-47.720,145.800,2950.000,0.320,MD97-2107,3.6100
-47.440,133.010,3945.000,0.390,E39_43,3.6100
-47.040,174.080,1429.000,0.620,H564,2.8400
-47.000,149.520,3208.000,0.610,SO136-155,3.2200
-47.000,166.060,1648.000,1.800,TAN0803-09,2.9800
-46.770,166.920,743.000,1.680,TAN1106-07,1.7900
-46.580,-177.410,4432.000,0.420,"181-1122C-1H-1,0-2",3.0600
-46.550,149.080,3682.000,0.230,SO136-162,3.2900
-46.470,175.070,1936.000,1.270,Q217,5.4400
-46.210,179.000,3166.000,0.370,W152,3.6900
-46.150,177.190,2424.000,0.660,H559,2.7300
-46.150,177.190,2500.000,0.440,H559,2.7000
-46.080,176.490,2125.000,0.510,Q206,2.7500
-46.050,174.590,1733.000,0.530,H567,3.2300
-45.960,175.060,1668.000,0.490,Q203,2.7400
-45.950,147.510,3236.000,0.710,SO136-163,3.0900
-45.870,175.480,1650.000,0.570,H562,2.8100
-45.840,-179.170,3200.000,0.180,H552,2.8400
-45.770,176.600,2066.000,0.530,SO213-82-1,3.5300
-45.660,172.020,1370.000,0.720,Q200,2.6200
-45.460,178.020,2700.000,0.420,J1042,2.8900
-45.390,177.990,2632.000,0.430,Q215,2.8100
-45.340,172.690,1462.000,0.620,H534,2.9300
-45.330,-174.080,4680.000,0.140,Q575,3.6500
-45.310,177.160,2250.000,0.440,H560,2.8800
-45.310,147.920,4068.000,-0.150,SO136-164,3.6800
-45.150,146.290,3310.000,0.260,MD97-2106,3.0200
-45.120,174.570,972.000,1.210,SO213-84-1,2.4200
-45.100,147.740,4002.000,0.290,RS95-GC34,3.0100
-45.070,179.510,2700.000,0.700,U938,3.0000
-45.030,177.060,1860.000,0.630,Q216,3.1200
-44.900,172.900,1240.000,0.920,E427,2.6500
-44.780,172.800,1130.000,0.960,E426,2.5500
-44.760,172.390,393.000,1.920,"181-1119A-1H-1,0-2",1.5200
-44.730,172.730,721.000,1.750,E425,3.1300
-44.690,179.070,1841.000,0.770,W272,2.7400
-44.670,172.630,293.000,1.740,E424,1.8900
-44.610,179.400,1350.000,0.850,J1047,3.0900
-44.570,173.150,511.000,1.940,G664,1.8200
-44.410,173.060,165.000,1.670,H362,1.4300
-44.250,149.980,2667.000,0.570,FRG94-003,3.3800
-44.130,178.000,1080.000,1.190,Q213,3.0400
-44.000,177.420,715.000,1.720,E75,1.9200
-43.870,-179.470,289.000,1.800,G179,1.7300
-43.870,-175.330,623.000,1.580,C618,2.4000
-43.830,-175.670,232.000,1.210,G56,2.3400
-43.670,-174.780,752.000,1.730,C620,1.9900
-43.580,174.000,215.000,1.790,H427,1.7000
-43.580,174.000,215.000,1.860,H427,1.5200
-43.500,174.000,366.000,2.080,E48,1.8000
-43.450,167.900,1477.000,0.810,MD06-2986,2.6700
-43.440,167.850,1556.000,0.630,SO136-011,2.7300
-43.250,174.480,574.000,1.840,E435,2.9200
-43.250,178.670,480.000,1.290,D117,2.1000
-43.200,-174.000,1128.000,0.850,R623,3.3100
-43.020,175.570,285.000,1.820,F756,2.7300
-43.000,174.500,854.000,1.420,F755,2.2800
-42.850,178.980,980.000,0.800,W268,3.4800
-42.830,174.170,1646.000,0.110,E93,1.3700
-42.800,174.530,1324.000,0.480,F754,2.4000
-42.720,176.910,850.000,1.570,U951,2.1900
-42.670,178.670,1637.000,0.770,D115,2.6800
-42.550,176.390,1625.000,0.150,F761,2.9600
-42.550,-178.170,1365.000,0.680,"181-1125A-1H-1,0-2",2.8600
-42.530,-178.490,1408.000,0.110,CHAT 16K/R657,2.8100
-42.530,-178.490,1408.000,0.930,R657,2.6100
-42.340,-171.500,2030.000,0.490,S925,2.9600
-42.230,179.980,2840.000,0.130,J1008,3.2100
-42.220,179.360,2540.000,0.510,W266,2.6900
-42.130,169.880,958.000,1.060,SO136-003,2.2300
-41.790,-171.500,3290.000,0.340,"181-1123B-1H-1,0-2",2.7600
-41.580,-171.500,3550.000,0.550,S924,2.7400
-40.240,179.400,3010.000,-0.280,Q861,2.2100
-40.030,180.000,3003.000,0.330,S938,3.0800
-39.940,-178.500,3654.000,0.380,Q859,2.2300
-39.460,-176.410,4096.000,0.520,S931,2.8200
-38.470,140.170,2525.000,0.550,RS67-GC13,2.4600
-33.980,152.000,2007.000,0.580,112GC10,2.8900
-33.950,151.920,1467.000,0.710,112GC9,3.0400
-26.590,153.850,1022.000,1.010,105GC25,2.1500
-26.500,153.830,355.000,1.580,105GC20,1.0600
-26.500,153.880,842.000,0.890,105GC23,1.8100
-23.900,152.640,166.000,1.510,FR1/97GC9,-0.0400
-23.570,153.780,990.000,1.050,FR1/97GC12,2.0700
-23.380,153.370,502.000,1.420,FR1/97GC11,1.2700
-23.000,152.800,335.000,1.480,FR1/97GC10,0.4600
-18.060,150.040,745.000,1.500,ODP133-818b,1.9200
-22.670,-83.160,3510.000,0.340,h96-tk1,2.8900
-21.740,-81.920,2466.000,0.320,h96-tg3,2.5800
-20.320,-81.020,3060.000,0.290,h96-tg4,2.5900
-17.230,-78.100,3120.000,0.320,h96-tg7,2.6700
0.930,-104.100,3496.000,0.250,PLDS   66Bx,2.6700
0.970,-131.650,4407.000,0.270,PLDS   89Bx,2.6500
0.980,-135.070,4297.000,0.320,PLDS   90Bx,2.7000
1.000,-113.650,3944.000,0.250,PLDS   74Bx,2.6800
1.000,-109.250,3626.000,0.270,PLDS   72Bx,2.8500
1.020,-105.480,3650.000,0.280,PLDS   68Bx,2.7400
1.050,-119.920,4366.000,0.350,PLDS   77Bx,2.6300
1.050,-107.200,3694.000,0.330,PLDS   70Bx,2.9500
1.070,-122.230,4542.000,0.180,PLDS   79Bx,2.9000
2.350,163.700,4324.000,0.360,ERDC141Bx,3.0600
22.900,-109.480,640.000,-0.150,ET97-7T,1.5980
22.910,-109.460,690.000,-0.080,AL98-PC12,2.0400
22.920,-109.450,625.000,-0.190,LPAZ 21 P,1.6200
23.230,-111.040,1222.000,-0.070,RGS87-19 BC,2.3000
23.250,-109.440,880.000,0.010,BAP96-2-T,2.0750
23.270,-110.550,695.000,-0.120,CA94-3-I ,1.7100
23.340,-111.950,750.000,-0.200,RGS87-21 GC,1.9900
23.580,-111.180,604.000,-0.090,RGS87-16 GC,1.6600
24.880,-112.880,1450.000,0.100,ET97-4T,2.4000
25.060,-112.980,1600.000,0.050,BAP96-10-T,2.2800
29.270,-115.620,863.000,-0.030,CA94-12k-4,2.0500
32.280,-118.400,1765.000,0.110,EW9504-04PC,2.3300
-29.780,-43.580,3924.000,0.410,KNR159-5-22GGC,3.0800
-29.530,-45.080,3589.000,0.680,KNR159-5-125GGC,3.1600
-28.870,-45.700,2732.000,1.150,KNR159-5-63GGC,2.7800
-28.630,-45.530,2951.000,1.210,KNR159-5-20JPC,2.7400
-28.130,-46.070,2500.000,1.310,KNR159-5-30GGC,2.7600
-27.770,-46.630,2296.000,1.280,KNR159-5-42JPC,2.5400
-27.700,-46.480,1627.000,1.000,KNR159-5-17JPC,2.5100
-27.570,-46.180,2082.000,1.250,KNR159-5-33GGC,2.4500
-27.520,-46.470,1268.000,1.020,KNR159-5-36GGC,2.5300
-27.480,-46.330,1829.000,1.230,KNR159-5-78GGC,2.5200
-27.350,-46.630,1105.000,1.260,KNR159-5-90GGC,2.4100
-26.680,-46.500,440.000,1.480,KNR159-5-14GGC,1.2600
24.220,-83.300,751.000,0.940,KNR166-2-11MC,2.2300
24.330,-83.260,547.000,0.970,KNR166-2-62MC,1.7700
24.380,-83.340,447.000,0.980,KNR166-2-3MC,1.6300
24.400,-83.230,248.000,0.660,KNR166-2-16MC,1.3400
24.410,-83.220,198.000,0.730,KNR166-2-50MC,1.1000
24.570,-79.230,259.000,1.720,KNR166-2-94MC,0.1300
24.590,-79.270,531.000,1.360,KNR166-2-118MC,0.8400
24.760,-79.290,694.000,1.220,KNR166-2-125MC,1.5100
24.840,-79.220,441.000,1.620,KNR166-2-134MC,0.5100
-41.260,25.150,2660.000,0.500,MD02 2589,3.7000
-34.730,17.330,2440.000,0.740,MD02 2594,3.4200
-7.889,148.203,842.000,1.120,GeoB17436-3  ,2.0400
-7.270,147.340,1001.000,0.500,GeoB17435-2   ,2.1800
-4.100,145.201,1606.000,0.310,GeoB17429-1  ,2.5400
-2.815,144.499,1883.000,0.470,GeoB17419-2  ,2.6300
-2.189,150.861,1366.000,0.580,GeoB17426-2  ,2.3000
-1.380,147.174,2217.000,0.470,GeoB17424-2  ,2.6900
0.586,-156.659,3362.000,0.180,ML1208-18GC,2.7500
2.769,-159.291,3331.000,0.430,ML1208-27BB,2.6900
2.972,-159.198,3153.000,0.340,ML1208-28BB,2.5700
4.683,-160.052,2857.000,0.350,ML1208-31BB,2.5000
7.044,-161.635,2798.000,0.145,ML1208-37BB,2.4700
23.746,-79.430,542.000,1.250,Knr166-2 73GGC,1.2500
23.746,-79.430,542.000,1.530,Knr166-2 73GGC,1.1700
24.220,-83.296,751.000,0.810,Knr166-2 31JPC,2.2700
24.220,-83.296,751.000,0.870,Knr166-2 31JPC,2.0300
24.282,-83.271,648.000,0.870,Knr166-2 29JPC,2.0500
24.311,-83.256,598.000,0.880,Knr166-2 27GGC,1.9000
24.327,-83.252,546.000,0.930,Knr166-2 26JPC,1.8100
24.327,-83.252,546.000,1.180,Knr166-2 26JPC,1.6900
24.371,-79.450,638.000,1.180,Knr166-2 83GGC,1.4600
24.384,-83.338,446.000,0.770,Knr166-2 1GGC/2JPC,1.6700
24.396,-83.226,247.000,0.860,Knr166-2 48JPC,1.3100
24.412,-83.219,198.000,0.900,Knr166-2 51JPC,1.1200
24.418,-83.368,358.000,0.950,Knr166-2 59JPC,1.5100
24.563,-79.236,354.000,1.720,Knr166-2 106JPC,0.3700
24.564,-79.230,304.000,1.770,Knr166-2 105JPC,0.2200
24.591,-79.269,529.000,1.420,Knr166-2 119JPC,1.0000
24.641,-79.237,402.000,1.650,Knr166-2 113JPC,0.5300
24.641,-79.237,402.000,1.620,Knr166-2 113JPC,0.4800
24.764,-79.266,631.000,1.270,Knr166-2 127JPC,1.3100
24.836,-79.219,446.000,1.610,Knr166-2 135JPC,0.6900
24.848,-79.281,739.000,1.160,Knr166-2 132JPC,1.6500
-47.720,87.690,3615.000,-0.050,MD12-3396CQ,3.0900
-46.480,88.020,3420.000,0.230,MD02-2488,2.8800
-46.070,-75.690,1540.000,0.470,MD07-3088,2.5900
-46.030,96.480,3250.000,0.130,MD00-2374,2.7900
-46.020,96.450,3290.000,0.070,MD88-770,3.0000
-44.690,80.390,3400.000,0.290,MD12-3401CQ,2.9500
-44.690,80.390,3400.000,0.670,MD12-3401CQ,2.9100
-44.000,-14.230,3770.000,0.010,MD07-3076Q,2.7600
-43.820,51.310,3270.000,0.310,MD84-527,3.0100
-43.500,79.770,3200.000,0.720,MD97-2101,2.8900
-41.600,-74.960,1610.000,0.350,MD07-3100,2.6500
-41.600,-74.960,1610.000,-0.230,MD07-3100,2.6600
-41.600,-74.960,1610.000,0.140,MD07-3100,2.5900
-41.600,-74.960,1610.000,-0.540,MD07-3100,2.6100
-33.170,31.230,3781.000,0.610,MD96-2077,2.7800
-23.320,12.370,1948.000,0.530,MD08-3167,2.5400
-23.320,12.370,1948.000,0.600,MD08-3167,2.5200
-17.880,38.670,1934.000,0.630,MD79-254,2.5600
-15.540,146.940,1630.000,0.580,SI51-GC-21,2.4000
-11.580,122.050,2313.000,0.360,SHI90-22,2.5800
-9.880,118.090,2466.000,0.350,SHI90-26,2.5700
-9.650,118.340,2100.000,0.260,MD98-2165,2.5500
-8.520,128.150,1768.000,0.340,MD98-2172,2.4100
-7.330,104.540,3331.000,0.330,SHI90-43,2.7100
-5.780,126.970,3163.000,0.240,SHI90-14,2.5700
-5.000,133.450,2382.000,0.080,MD98-2175,2.1300
-5.000,133.450,2382.000,0.100,MD98-2175,2.1400
-0.180,44.270,3045.000,0.310,MD85-666,2.4900
3.300,132.110,3574.000,0.230,MD98-2182,2.8900
3.510,5.570,1181.000,0.720,KW-31,2.3100
8.580,75.330,1878.000,0.190,MD76-125,2.4900
10.010,-56.010,3820.000,0.670,CH75-04,3.0100
10.050,-57.530,3410.000,0.880,CH75-03,2.6500
10.210,95.050,2360.000,0.390,MD77-169,2.1500
11.760,94.150,1760.000,0.370,MD77-171,2.2900
12.080,75.900,1610.000,0.180,MD76-127,2.3100
14.440,50.520,1895.000,-0.060,MD76-135,2.4200
14.440,50.520,1895.000,-0.050,MD76-135,2.3400
14.520,93.130,1375.000,0.220,MD77-176,2.0400
16.900,-77.130,1894.000,0.870,CHO288-73,2.2900
17.040,-77.210,1203.000,1.210,CHO288-75,2.1600
17.070,-76.970,1805.000,1.200,CHO288-67,2.4900
17.230,-77.010,1706.000,1.340,CHO288-66,2.4800
17.230,-77.010,1706.000,1.090,CHO288-66,2.4700
17.350,-77.050,1545.000,1.170,CHO288-65,2.4100
17.400,-77.520,1309.000,0.970,CHO288-55,2.3800
17.400,-77.470,1195.000,1.050,CHO288-60,2.1500
17.400,90.480,2271.000,0.240,MD77-181,2.7700
17.420,-77.100,1075.000,1.160,CHO288-64,2.2400
17.430,-78.270,713.000,1.150,CHO 288-85,1.7200
17.650,-78.730,810.000,0.990,CHO 288-113,1.7900
17.670,-78.250,639.000,0.910,CHO 288-41,1.2200
17.820,-77.660,1020.000,1.080,CHO288-54,2.2700
17.850,-78.390,1637.000,1.340,CHO 288-25,2.3700
17.910,-79.700,2520.000,1.370,CHO 288-100,2.3400
37.080,-32.030,2159.000,1.130,MD95-2037,2.3200
37.100,-9.480,997.000,0.940,SU92-28,1.4500
37.770,-10.180,3135.000,0.700,SU81-18,2.9400
37.880,-10.090,2901.000,1.050,MD04-2812,2.6200
41.760,-47.350,4100.000,1.020,CH69-K09,2.8200
42.150,-9.690,2120.000,1.100,MD99-2331,2.4000
42.160,-9.700,2164.000,1.050,MD03-2697,2.4300
43.050,-30.040,3080.000,1.000,SU90-08,2.5300
44.810,-2.550,2800.000,0.900,OB101,2.5000
52.700,-35.940,3757.000,0.510,MD08-3182CQ,2.7200
54.640,-16.360,2209.000,0.980,CH73-139C,2.5800
54.890,-16.590,2452.000,0.930,ENAM97-09,2.6300
55.180,-14.760,2365.000,0.660,MD95-2003,2.5400
55.200,-14.750,2320.000,0.990,NA87-25,2.6900
55.500,-14.700,2161.000,1.030,NA87-22,2.7100
57.930,-29.100,2271.000,0.970,CH77-03,2.8000
60.570,-22.090,2370.000,1.150,SU90-33,3.0200
70.000,-17.510,1618.000,1.340,MD99-2314,4.0200
72.870,-16.190,1545.000,1.480,MD99-2310,3.8800
72.910,-14.990,2320.000,1.460,MD99-2309,4.0500
72.910,-12.980,2520.000,1.410,MD99-2308,3.9500
73.590,-13.860,2320.000,1.200,MD99-2307,4.1600
-33.530,166.530,2858.000,0.460,Z2112,2.5600
-36.200,176.890,2541.000,0.488,125JPC,2.6723
-36.740,176.640,1627.000,0.613,83TC,2.4984
-36.930,177.440,2045.000,0.368,H214,2.5980
-36.960,176.590,1165.000,0.971,79JPC,2.2714
-37.260,176.640,663.000,1.457,87TC,1.5827
-39.880,177.670,3836.000,0.505,41JPC,2.7732
-45.150,146.280,3300.000,0.469,RS147-GC07,3.2080
50.208,-45.688,3448.000,0.709,HU91 045 093 HR,2.8299
31.374,-39.284,3863.800,0.950,MSM58-49-4,2.6200
33.746,-38.874,3461.100,1.000,MSM58-45-1,2.5600
33.915,-38.656,3139.100,1.000,MSM58-43-4,2.5800
33.945,-36.254,3359.400,0.900,MSM58-40-4,2.5100
34.063,-30.591,2485.700,1.190,MSM58-55-1,2.4000
34.063,-30.591,2485.700,1.190,MSM58-55-1,2.4400
34.763,-33.566,3536.600,1.080,MSM58-30-4,2.3600
34.763,-33.566,3536.600,0.870,MSM58-30-4,2.4900
35.650,-35.502,2880.200,1.120,MSM58-34-1,2.4600
35.650,-35.502,2880.200,0.690,MSM58-34-1,2.5500
37.614,-34.384,2824.100,1.030,MSM58-23-1,2.3600
37.614,-34.384,2824.100,1.010,MSM58-23-1,2.5000
37.740,-33.937,2602.800,1.120,MSM58-20-1,2.3800
37.740,-33.937,2602.800,1.130,MSM58-20-1,2.4500
37.859,-34.180,2166.900,1.150,MSM58-24-1,2.3800
37.859,-34.180,2166.900,0.950,MSM58-24-1,3.1500
38.493,-34.479,3061.200,1.040,MSM58-26-1,2.7100
38.493,-34.479,3061.200,0.980,MSM58-26-1,2.5100
38.493,-34.479,3061.200,1.250,MSM58-26-1,2.6600
38.584,-35.536,4110.900,0.960,MSM58-28-3,2.5600
38.584,-35.536,4110.900,0.610,MSM58-28-3,2.6000
40.401,-31.080,2103.300,1.100,MSM58-13-1,2.5000
40.401,-31.080,2103.300,0.970,MSM58-13-1,2.4400
40.884,-30.883,2482.600,0.910,MSM58-12-1,2.4000
40.884,-30.883,2482.600,0.840,MSM58-12-1,2.4200
41.369,-28.232,2781.500,1.060,MSM58-08-1,2.3000
41.369,-28.232,2781.500,1.000,MSM58-08-1,2.3900